cod_produto,nome_produto,categoria_produto,valor_produto
1,Notebook Asus Intel Core i7,Tecnologia,4590.9
2,Bicicleta Caloi Aro 29,Lazer,1345.78
3,Smartphone Samsung,Tecnologia,2049.5
4,Mochila Targus,Material de escritorio,58.9
5,Escrivaninha em L,Material de escritorio,437
6,Sofa 3 lugares,Casa e bem-estar,899.9
7,Ar-condicionado 9500 BTUs LG,Casa e bem-estar,1300.49
8,Cafeteira Nespresso,Eletrodomesticos,219.57
9,Microoondas 35L,Eletrodomesticos,389.1
10,Cadeira Gamer Xpress,Material de escritorio,699.9
11,Jogo Mortal Kombat 11 PS4,Jogos,49.9
12,Umidificador de Ar Cadence,Casa e bem-estar,77.5
13,Kit 3 barras de chocolate Alpino,Alimentos,9.9
14,Blusa Lacoste,Moda e beleza,138.99
15,Alcool em Gel 70% Johnson,Produtos de limpeza,4.99
16,Biscoito Chocolicia Chocolate,Alimentos,5
17,Monitor LG 19 pol curvado,Tecnologia,584.1
18,Lenço umedecido Turma da Monica,Produtos de limpeza,7.9
19,SmartTV Samsung 4K 55 polegadas,Eletronicos,2499.9
20,Aparelho de Barbear OneBlade Philco,Eletronicos,129.9
21,SPA Intel 700 L,Lazer,5999.1
